Adgroup;MaxCPC;Clicks;Impressions;CTR;AvgCPC;Costo;AvgPosicion;Qscore;Ventas;Costconv;Convrate;Allconv
Vest English;0,2;0;0;0;0;0;0; --;0;0;0,00;0
Sock English;0,16;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,46;0;0;0;0;0;0; --;0;0;0,00;0
Rug English;0,04;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Hat English;0,2;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,56;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Clothing English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Ruana English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;1;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;1;0;0;0;0;0;0; --;0;0;0,00;0
Sweater Women English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,15;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;1,11;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Peruvian Alpaca Clothing English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,43;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,1;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,4;0;0;0;0;0;0; --;0;0;0,00;0
